,movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
184, The Gold Rush,8.1†,117000,1925,1h 35m,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_185
185, Barry Lyndon,8.1†,179000,1975,3h 5m,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_186
186, Gone Girl,8.1†,100000,2014,2h 29m,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_187
187, Hacksaw Ridge,8.1†,576000,2016,2h 19m,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_188
188, In the Name of the Father,8.1†,184000,1993,2h 13m,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_189
189, On the Waterfront,8.1†,162000,1954,1h 48m,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_190
190, Salinui Chueok,8.1†,207000,2003,2h 11m,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_191
191, The General,8.1†,96000,1926,1h 18m,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_192
192, The Deer Hunter,8.1†,356000,1978,3h 3m,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_193
193, Smultronst√§llet,8.1†,113000,1957,1h 31m,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_194
194, Relatos Salvajes,8.1†,212000,2014,2h 2m,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_195
195, Dead Poets Society,8.1†,529000,1989,2h 8m,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_196
196, The Third Man,8.1†,179000,1949,1h 44m,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_197
197, Le Salaire De La Peur,8.2†,65000,1953,2h 11m,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_198
198, Mad Max: Fury Road,8.1†,1100000,2015,2h,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_199
199, Sherlock Jr,8.2†,55000,1924,45m,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_200
200," Monsters, Inc",8.1†,959000,2001,1h 32m,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_201
201, Mr,8.1†,120000,1939,2h 9m,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_202
202, Jaws,8.1†,647000,1975,2h 4m,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_203
203, How to Train Your Dragon,8.1†,783000,2010,1h 38m,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_204
204, Mary and Max,8.1†,184000,2009,1h 32m,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_205
205, Ford v,8.1†,446000,2019,2h 32m,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_206
206, Det Sjunde Inseglet,8.1†,195000,1957,1h 36m,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_207
207, Room,8.1†,442000,2015,1h 58m,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_208
208, The Big Lebowski,8.1†,846000,1998,1h 57m,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_209
209, Ratatouille,8.1†,800000,2007,1h 51m,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_210
210, Tokyo Story,8.1†,67000,1953,2h 16m,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_211
211, Rocky,8.1†,616000,1976,2h,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212
212, Hotel Rwanda,8.1†,368000,2004,2h 1m,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_213
213, Logan,8.1†,812000,2017,2h 17m,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_214
214, Spotlight,8.1†,494000,2015,2h 9m,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_215
215, Platoon,8.1†,432000,1986,2h,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_216
216, La passion de Jeanne d'Arc,8.1†,59000,1928,1h 50m,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_217
217, The Terminator,8.1†,908000,1984,1h 47m,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_218
218, Jai Bhim,8.7†,213000,2021,2h 44m,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_219
219, Before Sunset,8.1†,282000,2004,1h 20m,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_220
220, Rush,8.1†,504000,2013,2h 3m,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_221
221, Network,8.1†,167000,1976,2h 1m,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_222
222, The Best Years of Our Lives,8.1†,69000,1946,2h 50m,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_223
223, The Exorcist,8.1†,446000,1973,2h 2m,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_224
224, Stand by Me,8.1†,432000,1986,1h 29m,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_225
225, La haine,8.1†,190000,1995,1h 38m,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_226
226, Pirates of the Caribbean: The Curse of the Black Pearl,8.1†,1200000,2003,2h 23m,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_227
227, The Wizard of Oz,8.1†,421000,1939,1h 42m,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_228
228, The Incredibles,8.0†,788000,2004,1h 55m,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_229
229, Into the Wild,8.1†,648000,2007,2h 28m,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_230
230, Hachi: A Dog's Tale,8.1†,304000,2009,1h 33m,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_231
231, Ah-ga-ssi,8.1†,166000,2016,2h 25m,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_232
232, To Be or Not to Be,8.2†,42000,1942,1h 39m,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_233
233, My Father and My Son,8.2†,91000,2005,1h 52m,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_234
